OBJECTID_1,OBJECTID,TNODE_,LPOLY_,RPOLY_,LENGTH,STREETCL_,STREETCL_I,PREFIX,NAME,TYPE,SUFFIX,STREETNAME,ALTERNATEN,LLEFT,HLEFT,LRGT,HRGT,FROMSTREET,TOSTREET,OWNER,BELTWAY,MAJORRD,NO_LANES,CFCC,ONEWAY,STCL_CODE,UNIQUE_ID,ROUTE_ID,ROUTE_TYPE,LNK_ROUTE_,CITYWORKS,FACILITYID,LEGACYID,INSTALLDAT,WARRANTYDA,CONDITIOND,LOCATION
1,438,0,0,0,1105.35853832328,68948,19, ,Swimming Pool Entrance, , ,Swimming Pool Entrance ,Swimming Pool entrance,0,0,0,0, , , , , ,0, , ,1630,0,  6265-04, , , ,68948, ,,,, 
2,445,0,0,0,66.2907564472294,68957,9, ,Swimming Pool Entrance, , ,Swimming Pool Entrance ,Swimming Pool Entrance,0,0,0,0, , , , , ,0, , ,1630,0,  6265-03, , , ,68957, ,,,, 
3,,0,0,0,811.716837802256,60215,, ,Babcock ,Blvd, ,Babcock Blvd,Three Degree Rd,0,0,0,0, , ,County, , ,0, , ,1630,0,  2008-04,,,,,,,,,
4,,0,0,0,1001.13518810365,56389,, ,Graham ,Blvd, ,Graham Blvd,Graham blvd,0,0,0,0, , ,County, , ,0, , ,1630,0,  3138-02,,,,,,,,,
5,,0,0,0,1764.067958729,59898,, ,Pittsburgh & McKeesport ,Blvd, ,Pittsburgh & McKeesport Blvd,Pittsburgh 7 McKeesport Blvd,5933,6149,6000,6150,Naugle St,City Limit,County, , ,2,A31,n,0,23007,  5255-00,,,,,,,,,
6,,0,0,0,906.616013041987,30666,, ,Steubenville Pike/Scott Sta ,Rd, ,Steubenville Pike/Scott Sta Rd,Scott Rd,0,0,0,0, , ,County, , ,0, , ,1630,0,  6295-00,,,,,,,,,
8,,0,0,0,15645.7955412436,73539,, ,Greensburg ,Pike, ,Greensburg Pike,Greensburg Pike,0,0,0,0, , ,County, ,Yes,0, , ,1620,0,  3139-01,,,,,,,,,
9,108,0,0,0,7494.89574921832,51871,4, ,Pangburn Hollow ,Rd, ,Pangburn Hollow Rd,Ripple Rd,0,0,0,0, , ,County, , ,0, , ,1630,0,  4243-02,SNOW,424302, ,51871, ,,,,Pangburn Hollow Rd
10,,0,0,0,2902.26104788328,74841,, ,Steuben ,St, ,Steuben St,Steuben St,0,0,0,0, , , , , ,2,A31,n,0,12105,  6291-00,,,,,,,,,
11,42,0,0,0,5715.61878403989,27805,29, ,Middletown-Coraopolis ,Rd, ,Middletown-Coraopolis Rd,Coraopolis Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  6205-00,SNOW,620500, ,27805, ,,,,Middletown-Coraopolis Rd
12,503,0,0,0,4403.06889613522,70600,2, ,Old Kummer ,Rd, ,Old Kummer Rd,Beauty Rd,0,0,0,0, , , , , ,0, , ,1640,0,  1019-00, , , ,70600, ,,,, 
13,,0,0,0,317.738669336273,73034,, ,Fleming Park Bridge S.Approach,, ,Fleming Park Bridge S.Approach,Fleming Park Bridge Approach,0,0,0,0, , ,County, ,Yes,0, , ,1620,0,  6354-00,,,,,,,,,
14,67,0,0,0,1204.50820215453,36176,7, ,Pittsburgh Homestead Hi-Level ,Ramp, ,Pittsburgh Homestead Hi-Level Ramp,"Homestead Hi-Level Bridge Ramp, Fifth Ave",0,0,0,0, , , , , ,0, , ,1640,0,  5353-02,SNOW,535302, ,36176, ,,,,Pgh Homestead Grays Ramp
15,,0,0,0,1685.99935947354,35719,, ,New Ramp To Waterfront Park,, ,New Ramp To Waterfront Park,"New Homestead Hi-Level Bridge Ramp, 5th Sve",0,0,0,0, , , , , ,0, , ,1630,0,  5353-03,,,,,,,,,
16,206,0,0,0,15333.712241832,58132,18, ,New England ,Rd, ,New England Rd,New England Rd,0,0,0,0, , ,County, , ,0, , ,1630,0,  4231-00,SNOW,423100, ,80179, ,,,,New England Rd
17,195,0,0,0,20480.1613086973,73921,22, ,Blackburn ,Rd, ,Blackburn Rd,Brandt School Rd,0,0,0,0, , ,County,Orange,Yes,0, , ,1630,0,  1031-01,SNOW-MA,103101MA, ,73921, ,,,,Blackburn Rd
18,197,0,0,0,7181.58194657961,73949,10, ,Glenfield ,Rd, ,Glenfield Rd,Glenfield Rd,0,0,0,0, , , ,Yellow,Yes,0, , ,1630,0,  1135-02,SNOW-MA,113502MA, ,73949, ,,,,Glenfield Rd
19,198,0,0,0,8415.22370463244,74035,11, ,Jacks Run ,Rd, ,Jacks Run Rd,Jacks Run Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  1162-00,SNOW,116200, ,74035, ,,,,Jacks Run Rd
20,199,0,0,0,6600.90848168224,74053,30, ,Bascom ,Ave, ,Bascom Ave,Bascom Ave,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  1016-00,SNOW,101600, ,74053, ,,,,Bascom Ave
21,200,0,0,0,1710.45668482024,74105,6, ,Kittanning & Dorseyville ,Rd, ,Kittanning & Dorseyville Rd,Dorseyville Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  2165-03,SNOW-MA,216503MA, ,74105, ,,,,Kittanning & Dorseyville Rd
22,201,0,0,0,1441.42535483473,74170,51635450, ,Armstrong ,Tunl, ,Armstrong Tunl,Armstrong Tunnel,0,0,0,0,Second Ave,Forbes Ave,County, ,Yes,0,A31,n,0,14414,  3006-00,SNOW-MA-ALCO,3006, ,74170, ,,,, 
23,22,0,0,0,2153.71070940237,20333,37, ,Blackburn ,Rd, ,Blackburn Rd Spur,Blackburn rd,0,0,0,0, , ,County, , ,0, , ,1630,0,  1031-03,SNOW-MA,103103MA, ,20333, ,,,,"Blackburn Rd, Spur"
24,23,0,0,0,7431.40715268254,20479,45, ,Spring Run ,Rd, ,Spring Run Rd,Spring Run Rd,0,0,0,0, , ,County, , ,0, , ,1630,0,  6288-01,SNOW-MA,628801MA, ,20479, ,,,,Spring Run Rd
25,24,0,0,0,7348.71027211042,21011,21, ,Scaife ,Rd, ,Scaife Rd,Scaife Rd,0,0,0,0, , ,County, , ,0, , ,1630,0,  1275-00,SNOW-MA,127500MA, ,21011, ,,,,Scaife Rd
26,25,0,0,0,25964.5033519674,21189,15, ,Fox Chapel ,Rd, ,Fox Chapel Rd,Fox Chapel Rd,0,0,0,0, , , ,Green,Yes,0, , ,1630,0,  2128-00,SNOW-MA,212800MA, ,21189, ,,,,Fox Chapel Rd
27,26,0,0,0,7018.8868528688,21193,22, ,Water Works ,Rd, ,Water Works Rd,Water Works Rd,0,0,0,0, , ,County, , ,0, , ,1630,0,  1329-00,SNOW-MA,132900MA, ,21193, ,,,,Waterworks Rd
28,28,0,0,0,1625.46882974679,21476,141, ,Evergreen Extension ,Rd, ,Evergreen Extension Rd,Three Degree Rd,0,0,0,0, , ,County,Green,Yes,0, , ,1620,0,  1120-00,SNOW,112000, ,21476, ,,,,Evergreen Extension Rd/ Three Degree Rd
29,49,0,0,0,1291.99213447017,29006,97, ,Herrington Hill ,Rd, ,Herrington Hill Rd,Dunn St,0,0,0,0, , ,County, , ,0, , ,1630,0,  6145-00,SNOW-MA,614500MA, ,29006, ,,,,Herrington Hill Rd/ Dunn St
30,50,0,0,0,7381.9561524135,29015,72, ,Mckees Rocks And Forrest Grv ,Rd, ,Mckees Rocks And Forrest Grv Rd,Pine Hollow rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  6197-03,SNOW-MA,619703MA, ,29015, ,,,,Mc Kees Rocks / Forest Grove Rd
31,51,0,0,0,2167.01000364506,29587,6, ,Clever Road Extension,, ,Clever Road Extension,Fairhaven Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  6071-02,SNOW-MA,607102MA, ,29587, ,,,,Clever Rd Ext
32,52,0,0,0,11428.1702726941,29681,20, ,Lincoln ,Rd, ,Lincoln Rd,Lincoln Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  3179-01,SNOW,317901, ,29681, ,,,,Lincoln Rd
33,53,0,0,0,12810.0699882941,29734,1, ,Clever ,Rd, ,Clever Rd,Clever Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  6071-01,SNOW,607101, ,29734, ,,,,Clever Rd
34,158,0,0,0,692.108197014213,71536,51625250, ,Nelson Run ,Rd, ,Nelson Run Rd,Nelson Run Rd,4401,4437,4400,4450,Ivory Ave,I-579 Ramp,County, , ,4,A31,n,0,114,  2348-00,SNOW,234800, ,71536, ,,,,Nelson Run Rd
35,55,0,0,0,4511.68023665379,29945,46, ,Tyler ,Rd, ,Tyler Rd,Tyler Rd,0,0,0,0, , ,County, , ,0, , ,1630,0,  3570-00,SNOW,357000, ,29945, ,,,,Tyler Rd
36,57,0,0,0,8557.31900822507,30500,9, ,Imperial And Burgettstown ,Rd, ,Imperial And Burgettstown Rd,Robinson Rd,0,0,0,0, , ,County, , ,0, , ,1630,0,  6155-00,SNOW-MA,615500MA, ,30500, ,,,,Imperial / Burgettstown Rd
37,58,0,0,0,4603.78782661994,30833,80, ,Laketon ,Rd, ,Laketon Rd,Laketon Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  3172-00,SNOW,317200, ,30833, ,,,,Laketon Rd
38,59,0,0,0,3066.81111597814,30897,48, ,McKees Rocks / Steubenville ,Rd, ,McKees Rocks / Steubenville Rd,Mc Kees Rocks Rd Spur,0,0,0,0, , ,County, , ,0, , ,1630,0,  6199-03,SNOW-MA,619903MA, ,30897, ,,,,Mc Kees Rocks / Steubenville Pike
39,559,0,0,0,999.321578868348,69772,36, ,Old McCorkle ,Rd, ,Old McCorkle Rd,McCorkle Rd,0,0,0,0, , , , , ,0, , ,1640,0,  5195-02,SNOW,519502, ,80224, ,,,,"Mc Corkle Rd, Old"
40,560,0,0,0,3756.24712067372,49540,30, ,Ridge ,Rd, ,Ridge Rd,Ridge Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  5262-01,SNOW,526201, ,80226, ,,,,Ridge Rd/ Mc Corkle Rd
41,588,0,0,0,1358.52537770098,55647,6, ,McCaslin ,Rd, ,McCaslin Rd,McCaslin Rd,0,0,0,0, , ,County, , ,0, , ,1630,0,  6346-01,SNOW-MA,634601MA, ,80595, ,,,,Mc Caslin Rd
42,,0,0,0,1936.11698756042,53939,, ,Saxonburg ,Blvd, ,Saxonburg Blvd Old Loop,Old Saxonburg Loop (Hartwood Entr.),0,0,0,0, , , , ,Yes,0, , ,1630,0,  2273-00,,,,,,,,,
43,193,0,0,0,886.716112434973,73798,51, ,Hemlock ,Dr, ,Hemlock Dr,Hemlock Dr,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  2144-01,SNOW,214401, ,73798, ,,,,Hemlock Dr/ Pebbles School Rd
44,648,0,0,0,8760.05205459116,73366,22, ,Monroeville Trestle ,Rd, ,Monroeville Trestle Rd,Center Rd,0,0,0,0, , ,County,Orange,Yes,0, , ,1630,0,  3220-02,SNOW-MA,322002MA, ,81568, ,,,,Monroeville Trestle Rd
45,564,0,0,0,1501.51213402981,0,0, ,Campbells Run Rd Connector, , ,Campbells Run Rd Connector ,Old Campbells Run Rd,0,0,0,0, , , , , ,0, , ,0,0,  6072-06,SNOW,607206, ,80292, ,,,,Campbells Run Rd
46,616,0,0,0,4189.16759339925,0,0, ,Troy Hill ,Rd, ,Troy Hill Rd,Ivory Ave,0,0,0,0, , , , , ,0, , ,0,0,  2312-01,SNOW,231201, ,81178, ,,,,Mt Troy Rd
47,619,0,0,0,7661.12759820209,42460,76, ,Painters Run ,Rd, ,Painters Run Rd,Painters Run Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  6242-02,SNOW,624202, ,81187, ,,,,Painters Run Rd
48,620,0,0,0,14771.8998076916,20954,66, ,Babcock ,Blvd, ,Babcock Blvd,Babcock Blvd,0,0,0,0, , ,County,Green,Yes,0, , ,1620,0,  2008-01,SNOW,200801R4D1, ,81189, ,,,,Babcock Blvd
49,622,0,0,0,896.834917032438,35386,11, ,Browns Hill ,Rd, ,Browns Hill Rd,Browns Hill Rd,0,0,0,0, , ,County,Blue,Yes,0, , ,1630,0,  3047-02,SNOW,304702, ,81465, ,,,,Browns Hill Rd
50,623,0,0,0,7145.85282685543,71348,42, ,Homeville ,Rd, ,Homeville Rd,Homeville Rd,0,0,0,0, , , , , ,0, , ,1630,0,  5149-02,SNOW,514902, ,81467, ,,,,Homeville Rd
51,644,0,0,0,10590.1774223377,34016,56, ,Turtle Creek & Moroeville ,Rd,,Turtle Creek & Moroeville Rd (hill Rt),James St,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  3314-00,SNOW,331400, ,81560, ,,,,Turtle Creek - Monroeville Rd (Hill Rt)
52,66,0,0,0,11573.340156642,34040,54, ,Turtle Creek & Moroeville ,Rd, ,Turtle Creek & Moroeville Rd (valley rt),Lynn Ave & Monroeville Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  3313-00,SNOW,331300, ,34040, ,,,,Turtle Creek - Monroeville Rd (Hill Rt)
53,163,0,0,0,12931.2265885033,72718,15, ,Thomas Run & Oakdale,Rd, ,Thomas Run & OakdaleRd,"Thoms Run Rd, Seminary Ave at Oakdale",0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  6306-02,SNOW,630602, ,72718, ,,,,Thoms Run / Oakdale Rd
54,1,0,0,0,1925.5101466053,24,51694450, ,Ivory  ,Ave, ,Ivory  Ave,Ivory Ave,0,0,0,0,Ivory Ave,Ivory Ave,City,Blue, ,0,A31,n,0,122,  2312-03,SNOW,231203, ,24, ,,,,Mt Troy Rd
55,144,0,0,0,4064.21319845513,66822,27, ,North Braddock & Forest Hills ,Blvd, ,North Braddock & Forest Hills Blvd,"Yost Blvd, 6th St",0,0,0,0, , ,County, , ,0, , ,1630,0,  3237-01,SNOW-MA,323701MA, ,66822, ,,,,N. Braddock & Forest Hills Rd/Yost Blvd
56,146,0,0,0,6826.41117416624,67687,13, ,Natrona Heights ,Rd, ,Natrona Heights Rd,Argonne Dr,0,0,0,0, , ,County, , ,0, , ,1630,0,  3228-00,SNOW,322800, ,67687, ,,,,Natrona Heights Rd/Argonne Dr
57,147,0,0,0,8189.55730531549,67941,8, ,Irwin ,Rd, ,Irwin Rd,Irwin Rd,0,0,0,0, , ,County, , ,0, , ,1640,0,  1160-00,SNOW,116000, ,67941, ,,,,Irwin Rd
58,148,0,0,0,1923.64757307251,68006,5, ,Old Ingomar ,Rd, ,Old Ingomar Rd,Old Ingomar Rd,0,0,0,0, , ,County, , ,0, , ,1630,0,  1158-03,SNOW,115803, ,68006, ,,,,"Ingomar Rd, Old"
59,149,0,0,0,1786.20351222147,68213,12, ,Reynolds ,Rd, ,Reynolds Rd,Reynolds Rd,0,0,0,0, , ,County, , ,0, , ,1630,0,  1260-00,SNOW,126000, ,68213, ,,,,Reynolds Rd
60,150,0,0,0,1174.50682084276,69161,5, ,Beaver Grade ,Rd , ,Beaver Grade Rd ,"Old Beaver Grade Rd, Spur",0,0,0,0, , , , , ,0, , ,1630,0,  6022-00,SNOW-MA,602200MA, ,69161, ,,,,Beaver Grade Rd
61,151,0,0,0,770.161618490892,69893,97, ,Old Lebanon Church ,Rd, ,Old Lebanon Church Rd,Rodeo St,0,0,0,0, , , , , ,0, , ,1630,0,  5173-03,SNOW,517303, ,69893, ,,,,"Lebanon Church Rd, Old"
62,2,0,0,0,755.114186263972,135,51622565, ,Brighton ,Rd, ,Brighton Rd,Brighton Rd,4043,4099,0,0,Chellis St,City Limit,City, , ,2,A31,n,0,357,  1042-00,SNOW,104200, ,135, ,,,,Brighton Rd
63,3,0,0,0,1633.8849560006,13051,130, ,Walter ,Ave, ,Walter Ave,Walter Ave,0,0,0,0, , ,County, , ,0,A99,n,0,31655,  5323-01,SNOW,532301, ,13051, ,,,,Walter Ave
64,4,0,0,0,1932.7478546974,13184,51637471, ,Walter / Wagner ,Ave, ,Walter / Wagner Ave,Wagner Ave,600,698,401,421,City Limit,Mountain Ave,County, , ,2,A31,n,0,20021,  5323-02,SNOW-MA-ALCO,532302, ,13184, ,,,,Walter / Wagner Ave
65,6,0,0,0,3872.10011704637,13923,51639337, ,Becks Run ,Rd, ,Becks Run Rd,Becks Run Rd,0,0,366,398,Madeline St,E Agnew Ave,County,Blue,Yes,0,A31,n,0,21145,  5024-02,SNOW-MA-ALCO,502402, ,13923, ,,,,Becks Run Rd
66,7,0,0,0,9631.64845854133,15610,14, ,Meridian ,Rd, ,Meridian Rd,Meridian Rd,0,0,0,0, , ,County, , ,0, , ,1630,0,  2204-00,SNOW,220400, ,15610, ,,,,Meridian Rd
67,8,0,0,0,13423.6400364861,15805,4, ,Middle Extension ,Rd, ,Middle Extension Rd,Middle Rd Extension,0,0,0,0, , ,County, , ,0, , ,1630,0,  2309-03,SNOW-MA,230903MA, ,15805, ,,,,Middle Rd
68,11,0,0,0,11825.6372153226,16956,11, ,Pearce Mill ,Rd, ,Pearce Mill Rd,Pearce Mill Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  1245-00,SNOW,124500, ,16956, ,,,,Pearce Mill Rd
69,12,0,0,0,13891.8610690518,16996,12, ,Brandt School ,Rd, ,Brandt School Rd,Brandt School Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  1040-00,SNOW-MA,104000MA, ,16996, ,,,,Brandt School Rd
70,587,0,0,0,2764.37442224359,48309,80, ,Drake ,Rd, ,Drake Rd,Drake Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  5100-00,SNOW,510000, ,80584, ,,,,Drake Rd
71,589,0,0,0,16997.2166831055,65129,9, ,Spring Run ,Rd, ,Spring Run Rd Extension,Spring Run Rd Extension,0,0,0,0, , ,County, , ,0, , ,1630,0,  6288-02,SNOW-MA,628802MA, ,80597, ,,,,Spring Run Rd Ext
72,590,0,0,0,6270.47030953999,72507,54, ,Painters Run ,Rd, ,Painters Run Rd,Bower Hill Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  6242-01,SNOW,624201, ,80602, ,,,,Painters Run Rd/ Bower Hill Rd
73,592,0,0,0,19456.0059934187,72862,10, ,Warrendale Bayne ,Rd, ,Warrendale Bayne Rd,Warrendale Bayne Rd,0,0,0,0, , ,County,Red,Yes,0, , ,1630,0,  1325-00,SNOW,132500, ,80612, ,,,,Warrendale Bayne Rd
74,597,0,0,0,22243.2313021999,73006,29, ,Neville ,Rd, ,Neville Rd,"Grand Ave, Neville Rd",0,0,0,0, , ,County, ,Yes,0, , ,1620,0,  6230-01,SNOW,623001, ,81025, ,,,,Neville Rd
75,598,0,0,0,4571.3894787582,74693,65, ,Delafield ,Rd, ,Delafield Rd,Delafield Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  2097-00,SNOW-MA,209700MA, ,81037, ,,,,Delafield Rd
76,599,0,0,0,300.488112881546,66745,140, ,North Braddock & Forest Hills ,Blvd, ,North Braddock & Forest Hills Blvd,Yost Blvd,0,0,0,0, , ,County, , ,0, , ,1630,0,  3237-02,SNOW-MA,323702MA, ,81038, ,,,,N. Braddock & Forest Hills Rd/Yost Blvd
77,181,0,0,0,9239.32290365029,73315,25, ,Unity & Trestle ,Rd, ,Unity & Trestle Rd,Unity-Center Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  3316-00,SNOW,331600, ,73315, ,,,,Unity & Trestle Rd
78,183,0,0,0,5800.43917621965,73385,50, ,Stroschein ,Rd, ,Stroschein Rd,Stroschein Rd,0,0,0,0, , ,County, ,Yes,0, , ,1620,0,  3298-02,SNOW-MA,329802MA, ,73385, ,,,,Stroschein Rd
79,184,0,0,0,6799.81376361186,73393,65, ,Pitcairn ,Rd, ,Pitcairn Rd,Pitcairn Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  3253-00,SNOW-MA,325300MA, ,73393, ,,,,Pitcairn Rd
80,96,0,0,0,3116.72772643595,49050,16, ,Coulterville ,Rd, ,Coulterville Rd,"Coulterville Rd, Coulter Rd",0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  4090-01,SNOW,409001, ,49050, ,,,,Coulterville Rd
81,97,0,0,0,3817.23627192853,49155,14, ,Maple Springs ,Dr, ,Maple Springs Dr,Maple Springs Dr,0,0,0,0, , ,County, , ,0, , ,1630,0,  5192-00,SNOW,519200, ,49155, ,,,,Maple Springs Dr
82,98,0,0,0,10650.0004595092,49556,44, ,Buena Vista & Greenock ,Rd, ,Buena Vista & Greenock Rd,Greenock Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  4053-00,SNOW,405300, ,49556, ,,,,Buena Vista-Greenock Rd
83,99,0,0,0,5452.82650706835,49972,4, ,Coal Valley ,Rd, ,Coal Valley Rd,"Coal vallley Rd # 4, Chamberlain Rd",0,0,0,0, , ,County, , ,0, , ,1630,0,  5081-04,SNOW,508104, ,49972, ,,,,Coal Valley Rd
84,,0,0,0,704.283193210887,71381,, ,Haymaker (at Jughandle),Rd, ,Haymaker (at Jughandle)Rd,Haymaker Rd,0,0,0,0, , ,County, , ,0, , ,1630,0,3142-04,,314204,,,,,,,
85,568,0,0,0,2142.78078317393,56286,4, ,Newton & Rodi ,Rd, ,Newton & Rodi Rd,Jefferson Rd,0,0,0,0, , , , ,Yes,0, , ,1630,0,  3234-01,SNOW,323401, ,80352, ,,,,Newton & Rodi Rd/ Jefferson Rd
86,190,0,0,0,8745.6105234071,73662,112, ,Wall ,Rd, ,Wall Rd,Wall Ave,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  4321-00,SNOW,432100, ,73662, ,,,,Wall Rd
87,100,0,0,0,7227.14762042983,50184,3, ,Coulterville ,Rd, ,Coulterville Rd,Coulterville Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  4090-02,SNOW,409002, ,50184, ,,,,Coulterville Rd
88,101,0,0,0,8363.70768388238,50849,25, ,Brownsville & Library ,Rd, ,Brownsville & Library Rd,Brownsville & Library Rd (Piney Fork),0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  5049-00,SNOW,504900, ,50849, ,,,,Brownsville / Library Rd
89,102,0,0,0,6820.60983826709,51157,16, ,Buena Vista & Lovedale ,Rd, ,Buena Vista & Lovedale Rd,Broadlawn Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  4054-00,SNOW,405400, ,51157, ,,,,Buena Vista-Lovedale Rd
90,103,0,0,0,6423.67635504272,51272,45, ,Scotia Hollow ,Rd, ,Scotia Hollow Rd,Scotia Hollow Rd,0,0,0,0, , ,County, , ,0, , ,1630,0,  4277-00,SNOW,427700, ,51272, ,,,,Scotia Hollow Rd
91,104,0,0,0,12485.3870645799,51318,13, ,Rock Run ,Rd, ,Rock Run Rd,Rock Run Rd,0,0,0,0, , , , , ,0, , ,1630,0,  4267-00,SNOW,426700, ,51318, ,,,,Rock Run Rd
92,105,0,0,0,12319.874322869,51723,7, ,Simpson Howell ,Rd, ,Simpson Howell Rd,Simpson Howell Rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  4284-00,SNOW,428400, ,51723, ,,,,Simpson Howell Rd
93,106,0,0,0,12932.4324205926,51793,5, ,Monongahela & Elizabeth ,Rd, ,Monongahela & Elizabeth Rd,Warren Hill,0,0,0,0, , ,County, , ,0, , ,1630,0,  4215-00,SNOW,421500, ,51793, ,,,,Monongahela & Elizabeth Rd
94,92,0,0,0,224.355306405704,48244,14, ,Broughton &Cochrans Mill ,Rd, ,Broughton &Cochrans Mill Rd,Cochran Mill Rd,0,0,0,0, , ,County, , ,0, , ,1620,0,  5045-02,SNOW,504502, ,48244, ,,,,Broughton / Cochran Mill Rd
95,93,0,0,0,13034.9235523923,48596,39, ,Mowery Gill Hall&Cochran Mill ,Rd, ,Mowery Gill Hall&Cochran Mill Rd,Gill hall rd,0,0,0,0, , ,County, ,Yes,0, , ,1630,0,  5226-00,SNOW,522600, ,48596, ,,,,Mowery Gill Hall / Cochran Mill
96,94,0,0,0,12346.0351529813,48771,32, ,Catfish Run ,Rd, ,Catfish Run Rd,Corrigan Dr,0,0,0,0, , ,County, ,Yes,0, , ,1620,0,  5065-00,SNOW,506500, ,48771, ,,,,Catfish Run Rd
